record_id,state,district,year,population,gdp_million,unemployment_rate,literacy_rate,public_health_expenditure_million,crime_rate_per_100k
1,Gujarat,District_18,2019,2716050,61882.19,5.34,87.58,3663.31,94.73
2,Punjab,District_198,2021,197848,18163.24,9.67,86.48,5326.6,726.83
3,Delhi,District_57,2017,1233512,70309.6,17.49,93.93,3286.87,1038.22
4,Manipur,District_93,2012,1269957,5394.36,23.66,94.05,8189.32,382.85
5,Karnataka,District_19,2011,1610834,33120.15,0.98,55.69,9275.49,1024.17
6,Haryana,District_193,2012,1545326,6418.66,6.89,83.3,9857.88,1320.92
7,Delhi,District_237,2023,2670528,73937.89,19.24,79.08,3363.04,1317.07
8,Rajasthan,District_277,2018,458251,3265.79,4.75,93.15,2702.51,288.96
9,Gujarat,District_227,2024,16683,12107.71,3.23,51.01,1610.76,412.5
10,Uttar Pradesh,District_233,2015,892063,73204.05,1.63,84.39,474.72,999.39
11,Odisha,District_40,2019,1771184,46576.79,12.81,65.4,1770.23,1262.13
12,Tamil Nadu,District_153,2021,2328760,63617.09,19.31,63.67,2845.15,683.37
13,Karnataka,District_127,2013,492889,1322.38,24.06,42.15,3910.69,1383.38
14,Karnataka,District_237,2019,1808043,33533.41,7.05,97.69,1097.2,862.35
15,Telangana,District_55,2012,2671761,78757.41,3.47,80.55,8202.37,393.66
16,Rajasthan,District_172,2022,330709,46389.73,10.36,75.44,6190.42,30.93
17,Bihar,District_109,2011,649742,67976.13,1.86,55.07,5626.39,1211.23
18,Haryana,District_184,2024,1040915,77085.12,8.62,79.51,5452.8,140.11
19,Telangana,District_198,2023,2801373,54806.39,16.26,96.74,2899.66,118.59
20,Assam,District_87,2013,611383,26217.16,4.62,49.8,9375.44,1165.92
21,Sikkim,District_201,2018,1554732,24695.47,15.98,99.03,2317.42,48.44
22,Rajasthan,District_275,2013,705323,5711.48,24.31,65.65,6686.81,1264.3
23,Arunachal Pradesh,District_211,2022,2566595,34227.49,21.67,98.69,2531.15,898.49
24,Telangana,District_118,2021,1057108,73232.0,9.24,78.03,9896.2,955.18
25,Kerala,District_191,2014,119527,38250.21,10.83,59.45,9116.64,1407.14
26,Jammu & Kashmir,District_42,2024,2516101,72880.48,10.77,62.47,2645.64,1300.17
27,Goa,District_42,2017,1399183,65373.18,21.57,57.43,9874.71,114.92
28,Arunachal Pradesh,District_276,2011,2885390,78735.13,24.85,60.09,6259.63,1279.63
29,West Bengal,District_17,2021,2574386,75816.15,20.73,78.79,7285.57,1001.05
30,Rajasthan,District_283,2020,1276865,56521.6,14.17,41.0,2829.23,475.84
31,Andhra Pradesh,District_258,2023,8413,69698.67,2.89,98.06,2159.77,1280.19
32,Kerala,District_63,2012,1584949,59848.74,23.88,86.11,8580.7,35.92
33,Uttar Pradesh,District_62,2015,2785449,56274.53,21.57,96.46,2751.99,1256.48
34,Sikkim,District_100,2021,25563,57247.61,21.11,83.05,9175.3,930.67
35,Delhi,District_19,2016,1521660,57686.28,10.1,68.86,3666.52,392.49
36,Kerala,District_17,2013,304719,30359.73,11.46,51.38,91.57,9.93
37,Tripura,District_246,2023,2361757,33890.76,3.43,70.98,5921.67,782.47
38,Mizoram,District_251,2024,1060962,23532.75,23.48,82.7,3536.33,633.96
39,Uttarakhand,District_81,2010,1153820,11869.36,23.61,91.25,9759.74,1293.96
40,Uttarakhand,District_39,2016,2161302,36680.89,6.73,59.45,3867.23,1182.09
